category,sequence,frames_analyzed,groups_analyzed,cue,label,coverage,top_disagreement_share,top_disagreement_enrichment,top_excess_share,top_excess_enrichment,excess_mass_share,mean_excess_enrichment
skateboard,245_26182_52130,202,34,smooth_flat,Smooth/flat interior,0.043700634561078325,0.045432964568865905,1.0396408433238282,0.039332334198995525,0.9000403448151896,0.04785968388847461,1.095171371518264
cake,374_42274_84517,202,34,object_boundary,Object boundary,0.04704915694552299,0.1261632701142655,2.681520314175804,0.09512919356083532,2.0219106937661597,0.06098609866649533,1.2962208597512077
cake,374_42274_84517,202,34,rgb_edge,RGB edge,0.10003807591858661,0.1749688237516299,1.7490222812164413,0.1577660339343816,1.5770598593157208,0.11308576619873788,1.1304272414312504
cake,374_42274_84517,202,34,corner,Harris corner,0.08451797390600815,0.14850861764311624,1.7571246775067233,0.1385281561127788,1.6390378248635609,0.0913085682824902,1.0803449735323023
cake,374_42274_84517,202,34,low_texture,Low texture,0.20003510949163164,0.17610619828500168,0.880376443578116,0.1563077573005228,0.7814016134355747,0.1976192746910467,0.9879229460931908
cake,374_42274_84517,202,34,high_texture,High texture,0.2000347031317748,0.3277222856353659,1.638327152761467,0.28986802393360983,1.4490886800909564,0.2122706272217756,1.0611690066695092
cake,374_42274_84517,202,34,thin_structure,Thin/protrusion heuristic,0.0,0.0,nan,0.0,nan,0.0,nan
cake,374_42274_84517,202,34,high_depth_gradient,High GT depth gradient,0.031551811084927994,0.05927346139628972,1.8786072608238993,0.051344336077926406,1.6273023421610533,0.032733564399652644,1.0374543734286352
cake,374_42274_84517,202,34,smooth_flat,Smooth/flat interior,0.0217495986180514,0.01669503332913588,0.7676019048590437,0.015618589574337581,0.7181093246187404,0.02072456703704424,0.952871241487812
hydrant,411_56064_108483,179,30,object_boundary,Object boundary,0.06231056642320177,0.18611763697496017,2.986935405319281,0.11767593534135137,1.8885390086509297,0.09186792178795047,1.4743554273604358
hydrant,411_56064_108483,179,30,rgb_edge,RGB edge,0.10003262047653956,0.13985218431377133,1.3980657874155218,0.14716115182470946,1.4711316280994844,0.11352817794747284,1.1349115659136249
hydrant,411_56064_108483,179,30,corner,Harris corner,0.07566976229922526,0.09869833366449657,1.3043299022693915,0.11773437591313393,1.5558972611486497,0.08299700098601961,1.0968317920415798
hydrant,411_56064_108483,179,30,low_texture,Low texture,0.20002860624824378,0.1458170186737107,0.7289808263361378,0.14396640056726315,0.719729059095652,0.18755597271461302,0.9376457509374847
hydrant,411_56064_108483,179,30,high_texture,High texture,0.20002743705553627,0.2683902739304401,1.3417672989327127,0.2934223188439676,1.4669103557153553,0.223165489549553,1.1156743936462707
hydrant,411_56064_108483,179,30,thin_structure,Thin/protrusion heuristic,4.4039591982923554e-05,0.00018311379158533688,4.157935696959673,0.0001207771816839456,2.7424682256542523,0.00012801064592228925,2.9067173458810798
