auc_top10_eQ,auc_top10_excess,category,delta_error_median,disagreement_median,excess_error_median,fraction_quant_worse,frame,full_error_median,group_id,n,quant_error_median,rho_d_delta,rho_d_eQ,rho_d_excess,sampled_pixels,scene_radius,sequence,top10_precision_eQ,top10_precision_excess,top10_quant_worse_fraction,valid_pixels
0.5785471111111111,0.9008995555555556,toytruck,0.011335708892752018,0.04263549516789668,0.011335708892752018,0.6312,175,0.051941044313110585,g0004,5000,0.06484060850056822,0.42989594391583774,0.14796348687853947,0.4957592064778545,5000,2.318862406694102,190_20494_39385,0.226,0.536,0.822,8217
0.757416,0.976632,toytruck,0.11825447835261624,0.13404093082724566,0.11825447835261624,0.989,6,0.07548415762654502,g0005,5000,0.19651127076473884,0.8292052844642114,0.5381348605653944,0.8292009753470475,5000,2.318862406694102,190_20494_39385,0.32,0.72,0.994,6650
0.7244902222222223,0.9796537777777777,toytruck,0.05702436561928225,0.06451407043487122,0.05702436561928225,0.99,38,0.09828352268507853,g0005,5000,0.15018986673146725,0.826030926545237,0.48797393609495743,0.8260718785377031,5000,2.318862406694102,190_20494_39385,0.318,0.746,0.942,8919
0.6488528888888889,0.8966173333333334,toytruck,0.04833828960832832,0.12668229641903378,0.04833828960832832,0.779,72,0.0805166032741675,g0005,5000,0.13483395929196107,0.40362532686501307,0.3709979654959186,0.409801998426374,5000,2.318862406694102,190_20494_39385,0.368,0.498,0.906,14403
0.8241862222222223,0.9474,toytruck,0.1122670735206277,0.11836391877760145,0.1122670735206277,0.9982,110,0.13634213868738454,g0005,5000,0.24928593032995766,0.826290549723622,0.6510832556433302,0.8262916018633839,5000,2.318862406694102,190_20494_39385,0.428,0.538,1.0,12727
0.7576582222222222,0.9454697777777777,toytruck,0.00493643417849891,0.030884162393225653,0.00493643417849891,0.5922,142,0.07952806634852344,g0005,5000,0.08477459157493444,0.23781587616863506,0.19890078046803122,0.34091672275169743,5000,2.318862406694102,190_20494_39385,0.326,0.578,0.798,11678
0.635172,0.9023537777777778,toytruck,0.09391124587371548,0.12002428603294901,0.09391124587371548,0.9612,176,0.06240191186297536,g0005,5000,0.15586392677781474,0.428578450423138,0.13097770613510826,0.4289903282861452,5000,2.318862406694102,190_20494_39385,0.208,0.398,0.99,8940
0.7675151111111111,0.9730186666666667,toytruck,0.06537485159151364,0.08617836931010174,0.06537485159151364,0.9402,7,0.05047869801144155,g0006,5000,0.11275539254857447,0.6645868575274743,0.48968986406759457,0.6652692073942875,5000,2.318862406694102,190_20494_39385,0.354,0.672,0.978,7194
0.7676613333333333,0.9902551111111111,toytruck,0.055754269415264436,0.06570311373377155,0.055754269415264436,0.9642,39,0.06575291218651952,g0006,5000,0.12448707162873905,0.8534075173043006,0.42427689837907595,0.8545221964118289,5000,2.318862406694102,190_20494_39385,0.328,0.852,0.958,8633
0.3917853333333333,0.8839626666666667,toytruck,0.0015387669955371844,0.05971317339302375,0.0015387669955371844,0.5176,73,0.08104681732357727,g0006,5000,0.08749779529481759,0.33905286415411456,0.06323709036948362,0.40937117808471263,5000,2.318862406694102,190_20494_39385,0.134,0.464,0.758,15236
0.8623808888888889,0.9465715555555556,toytruck,0.10824322399589023,0.11427039866465885,0.10824322399589023,0.998,111,0.10132146909668352,g0006,5000,0.20712868463145695,0.6794605071464203,0.6679868972474758,0.6794612521571166,5000,2.318862406694102,190_20494_39385,0.422,0.51,0.992,12050
0.6986373333333333,0.9443093333333333,toytruck,0.026341773464518728,0.04235962249160332,0.026341773464518728,0.8208,143,0.05605314588382705,g0006,5000,0.07929617328134339,0.6184876795875072,0.4052161960166478,0.6355326151003258,5000,2.318862406694102,190_20494_39385,0.262,0.562,0.854,10747
0.543372,0.8179968888888889,toytruck,0.04622839275284511,0.09081472312317838,0.04622839275284511,0.7964,177,0.050093770675756294,g0006,5000,0.09910879889204477,0.39139129891965196,0.30203836299353454,0.39176890032952366,5000,2.318862406694102,190_20494_39385,0.132,0.256,0.886,9073
0.6812822222222222,0.9806866666666667,toytruck,0.07154437866774974,0.08468468372307619,0.07154437866774974,0.9676,8,0.051757838742092374,g0007,5000,0.12339687486815809,0.7677964291118572,0.5387991278879651,0.7680728003323272,5000,2.318862406694102,190_20494_39385,0.21,0.726,0.972,8979
0.7762337777777778,0.9872546666666666,toytruck,0.06389248457101013,0.07438694586946804,0.06389248457101013,0.9706,41,0.06604096946627093,g0007,5000,0.13078670531941733,0.8083652636946106,0.6196206943848278,0.8089785892091422,5000,2.318862406694102,190_20494_39385,0.378,0.798,0.912,9345
0.4573857777777778,0.8483613333333333,toytruck,-0.006000919840790767,0.04590991278036392,0.0,0.4014,74,0.0840333077634797,g0007,5000,0.07957753149583029,0.0020633550585342024,-0.236649325113973,0.22493012445949798,5000,2.318862406694102,190_20494_39385,0.092,0.454,0.598,15793
0.7889586666666667,0.9700635555555556,toytruck,0.11152522122289335,0.12411101576595396,0.11152522122289335,0.9892,112,0.09639830532578952,g0007,5000,0.2044118513158355,0.7263385576935423,0.5385353354294135,0.7264082469121623,5000,2.318862406694102,190_20494_39385,0.266,0.694,0.982,11955
0.6869777777777778,0.9228631111111111,toytruck,0.015760053443513194,0.03963665243228945,0.015760053443513194,0.7764,145,0.06907938043198775,g0007,5000,0.0825919890108425,0.40630576342023056,0.0771925227037009,0.42966373049216944,5000,2.318862406694102,190_20494_39385,0.264,0.448,0.824,9633
0.5506791111111111,0.89506,toytruck,0.03237020289212116,0.051081666938190454,0.03237020289212116,0.8122,178,0.05040148722438725,g0007,5000,0.07636609419214238,0.3164339599533584,0.04340634183225367,0.3245503241721276,5000,2.318862406694102,190_20494_39385,0.166,0.502,0.87,10072
