category,sequence,full_psnr_7k,quant_psnr_7k,full_minus_quant_psnr_7k,full_ssim_7k,quant_ssim_7k,full_minus_quant_ssim_7k,full_lpips_7k,quant_lpips_7k,quant_minus_full_lpips_7k,full_psnr_30k,quant_psnr_30k,full_minus_quant_psnr_30k,full_ssim_30k,quant_ssim_30k,full_minus_quant_ssim_30k,full_lpips_30k,quant_lpips_30k,quant_minus_full_lpips_30k
suitcase,50_2928_8645,10.492457754586269,10.245726649284974,0.24673110530129527,0.23012920717398325,0.2282480945189794,0.001881112655003847,0.6627990901470184,0.6842310693528917,0.021431979205873253,10.520858786948352,10.22473103003078,0.2961277569175724,0.23286809689468807,0.2328810410367118,-1.2944142023740834e-05,0.6694231960508559,0.6963562634256151,0.0269330673747592
teddybear,187_20215_38541,11.263737510096966,10.899646048332007,0.3640914617649589,0.36174092027876115,0.37999747196833294,-0.0182565516895718,0.6226323139336374,0.6350372400548723,0.012404926121234894,11.430704963736293,11.277872791933904,0.15283217180238928,0.3473937229977714,0.36284049683147007,-0.01544677383369869,0.6086345033513175,0.6176502505938212,0.009015747242503647
teddybear,34_1479_4753,8.062506360748412,8.4257994957588,-0.3632931350103892,0.33940720392598045,0.3678976794083913,-0.02849047548241085,0.7005738185511695,0.6808418366644118,-0.019731981886757732,8.124344745735009,8.557008871570797,-0.43266412583578884,0.3147568421231376,0.33814025587505764,-0.023383413751920046,0.6904031336307526,0.674092580874761,-0.01631055275599158
toaster,372_41229_82130,9.35153557081491,9.726775013126549,-0.3752394423116385,0.24943943321704865,0.2614702151881324,-0.01203078197108376,0.7003627154562209,0.712579220533371,0.012216505077150108,9.429837944324452,9.989171366660836,-0.5593334223363833,0.24127119779586792,0.24792890085114372,-0.006657703055275799,0.6888562507099576,0.7003888918293847,0.01153264111942709
toaster,416_57389_110765,8.94036678628678,8.879567135581212,0.06079965070556881,0.25982048279709286,0.2737484292851554,-0.01392794648806256,0.6644205682807498,0.6607667985889647,-0.0036537696917851026,8.962864799668061,8.886075729680245,0.0767890699878162,0.24633026123046875,0.2523000306553311,-0.005969769424862326,0.6553526288933225,0.6539041499296824,-0.0014484789636400874
toytrain,240_25394_51994,9.455672703142138,8.403316969058528,1.0523557340836103,0.3373253444830577,0.2897072699334886,0.04761807454956907,0.6973514250583119,0.7492471204863654,0.0518956954280535,9.593410089709895,8.531967291455036,1.061442798254859,0.31998446418179405,0.2805725716882282,0.03941189249356586,0.6956573923428854,0.7519842386245728,0.05632684628168738
toytrain,399_51323_100753,6.955382280509013,7.290973292158832,-0.33559101164981975,0.4345905151632097,0.39412454929616714,0.04046596586704254,0.794292946656545,0.7633169094721476,-0.030976037184397454,7.399180024523512,7.62632380124813,-0.22714377672461783,0.43815891610251534,0.39127015901936424,0.0468887570831511,0.7731255624029372,0.7454389068815443,-0.027686655521392822
toytruck,190_20494_39385,11.410248772622102,10.93249091753393,0.47775785508817314,0.28789735833803815,0.2950997253259023,-0.007202366987864139,0.5818620754612817,0.6015648146470388,0.019702739185757157,10.81109091462713,10.716108890173878,0.09498202445325177,0.26176271008120644,0.2729082653919856,-0.011145555310779154,0.592276910940806,0.6016936235957675,0.009416712654961468
toytruck,346_36113_66551,8.247981905742865,8.37921377523703,-0.1312318694941652,0.2905138350195355,0.2745753096209632,0.015938525398572267,0.6996785700321198,0.6887206865681542,-0.010957883463965534,8.53746999162773,8.589665842116723,-0.052195850488992335,0.29280100266138714,0.2854819479915831,0.007319054669804037,0.6978163487381406,0.6883892483181424,-0.009427100419998169
vase,374_41862_83720,9.80953854675311,9.500183069071689,0.3093554776814216,0.39439043071534896,0.3897438645362854,0.00464656617906356,0.6204783784018623,0.6378337740898132,0.01735539568795097,9.75904939176814,9.41434248220595,0.3447069095621913,0.38306791914833915,0.38148946563402814,0.0015784535143110179,0.6244180864757962,0.6401901874277327,0.015772100951936485
vase,380_44863_89631,11.427479978300353,10.306851303897721,1.1206286744026315,0.3608609702852037,0.35106572177675033,0.00979524850845337,0.6223143024577035,0.6859140661027696,0.06359976364506614,11.943620652127244,10.569728543300236,1.3738921088270075,0.34296685126092696,0.3376687963803609,0.005298054880566061,0.6152705318397946,0.6782145400842031,0.06294400824440849
